IM,a0b_interface,a0b_intraslab
-1,-0.0039,0
0,-0.00496,-0.00153
0.01,-0.00405,-0.00166
0.02,-0.00406,-0.00164
0.025,-0.00405,-0.00159
0.03,-0.00404,-0.00159
0.04,-0.00398,-0.00171
0.05,-0.00397,-0.00182
0.06,-0.00399,-0.00194
0.075,-0.00405,-0.00213
0.1,-0.00416,-0.00223
0.15,-0.00434,-0.00235
0.2,-0.00449,-0.00251
0.25,-0.00461,-0.0026
0.3,-0.00472,-0.0025
0.4,-0.00491,-0.00226
0.5,-0.00495,-0.00196
0.6,-0.00495,-0.00176
0.75,-0.00485,-0.00147
1,-0.00462,-0.00112
1.5,-0.00413,-0.0008
2,-0.00367,-0.00062
2.5,-0.00319,-0.0005
3,-0.0028,-0.0004
4,-0.00221,-0.00026
5,-0.00187,-0.00015
6.5,-0.00162,-0.000035
7.5,-0.00145,0
8.9,-0.00131,0
10,-0.00128,0
