IM,s_1vm,s_2vm,f_VM,V_1vm,f_2ZI,f_2ZII,f_2ZIIIa,f_2ZIIIb,f_2ZIIIc,f_2ZIIId,d_1,d_2
-1,-0.9889,-0.7682,0.6105,120,-0.2297,-0.1764,-0.1812,-0.2664,-0.4255,-0.4499,-0.0251,0.0036
0,-0.1911,-1.2318,-0.2107,120,-0.2659,-0.4117,-0.4918,-0.6046,-0.6928,-0.6607,-0.0224,-0.0077
0.01,-0.1902,-1.2467,-0.308,120,-0.2274,-0.3694,-0.4553,-0.5619,-0.6539,-0.621,-0.022,-0.0084
0.02,-0.1859,-1.2438,-0.3248,120,-0.241,-0.3875,-0.472,-0.58,-0.666,-0.638,-0.022,-0.0079
0.025,-0.1965,-1.2258,-0.33,120,-0.2585,-0.4015,-0.4864,-0.5952,-0.6845,-0.6562,-0.022,-0.0077
0.03,-0.1999,-1.2159,-0.3388,120,-0.2756,-0.4187,-0.5021,-0.613,-0.7017,-0.6753,-0.022,-0.0075
0.04,-0.2077,-1.1935,-0.3586,120,-0.293,-0.4383,-0.52,-0.635,-0.7215,-0.7004,-0.022,-0.0068
0.05,-0.2066,-1.1701,-0.3876,120,-0.31,-0.46,-0.537,-0.6597,-0.7456,-0.7202,-0.0223,-0.0064
0.075,-0.2075,-1.1237,-0.4202,120,-0.3063,-0.463,-0.5439,-0.6728,-0.7596,-0.7318,-0.0235,-0.0059
0.1,-0.209,-1.0406,-0.3593,120,-0.2894,-0.445,-0.531,-0.667,-0.7633,-0.7229,-0.025,-0.0057
0.15,-0.1884,-0.9579,-0.2206,120,-0.2013,-0.3855,-0.4613,-0.617,-0.731,-0.6857,-0.026,-0.0058
0.2,-0.1711,-0.8762,-0.0433,120,-0.15,-0.3375,-0.41,-0.5484,-0.676,-0.616,-0.025,-0.004
0.25,-0.145,-0.8178,0.1182,120,-0.115,-0.3014,-0.36,-0.5,-0.6176,-0.5556,-0.0205,-0.006
0.3,-0.1393,-0.8388,0.15,120,-0.0896,-0.27,-0.3283,-0.46,-0.5511,-0.4878,-0.0175,-0.01
0.4,0.0138,-0.9225,0.2458,120,-0.065,-0.225,-0.28,-0.395,-0.446,-0.396,-0.0165,-0.0117
0.5,0.1153,-0.9932,0.3407,120,-0.046,-0.192,-0.243,-0.35,-0.376,-0.333,-0.016,-0.012
0.75,0.1845,-1.1995,0.2776,120,-0.02,-0.128,-0.18,-0.26,-0.276,-0.233,-0.015,-0.0115
1,0.3848,-1.4444,0.0801,120,-0.007,-0.08,-0.13,-0.205,-0.216,-0.173,-0.0135,-0.0095
1.5,1.0491,-1.5348,0.0586,90,0,-0.025,-0.07,-0.13,-0.142,-0.1,-0.012,-0.0075
2,0.0364,-1.3148,0.1575,80,0,0,-0.032,-0.075,-0.0975,-0.0659,-0.02,-0.0308
2.5,-1.8641,-0.9172,0.5922,80,0,0,-0.01,-0.035,-0.072,-0.05,-0.0439,-0.0489
3,-3.235,-0.7303,0.7914,70,0,0,0,-0.012,-0.052,-0.037,-0.03,-0.035
4,-4.4205,-0.4244,1.0622,70,0,0,0,0,-0.032,-0.02,-0.001,0.0132
5,-3.7641,-0.3361,1.0711,70,0,0,0,0,-0.0175,-0.012,0,0.034
7.5,-1.8551,-0.2423,1.0375,70,0,0,0,0,0,0,0,0.0367
10,-1.288,-0.2272,1.0242,70,0,0,0,0,0,0,0,0.0367
